"","NUM","PAYS","PROV","ZS","POP","NUMSEM","DEBUTSEM","MALADIE","C011MOIS","D011MOIS","C1259MOIS","D1259MOIS","C5ANSP","D5ANSP","CASAGEINC","DECAGEINC","TOTALCAS","TOTALDECES","LETAL","ATTAQ","RecStatus","UniqueKey"
"17","RDCEQTBLG17","RDC","EQUATEUR","BOLENGE",52736,17,"04/25/16 00:00:00","CHOLERA",NA,NA,0,0,3,2,NA,NA,3,2,67,5.7,1,1074
"18","RDCEQTLKL17","RDC","EQUATEUR","LUKOLELA",149807,17,"04/25/16 00:00:00","CHOLERA",NA,NA,0,0,5,1,NA,NA,5,1,20,3.3,1,1079
"19","RDCEQTMKZ17","RDC","EQUATEUR","MAKANZA",67830,17,"04/25/16 00:00:00","CHOLERA",NA,NA,0,0,9,0,NA,NA,9,0,0,13.3,1,1104
"20","RDCEQTMKZ18","RDC","EQUATEUR","MAKANZA",67830,18,"02/05/16 00:00:00","CHOLERA",NA,NA,0,0,3,2,NA,NA,3,2,67,4.4,1,1112
"21","RDCEQTBLG18","RDC","EQUATEUR","BOLENGE",52736,18,"02/05/16 00:00:00","CHOLERA",NA,NA,0,0,4,1,NA,NA,4,1,25,7.6,1,1144
"22","RDCEQTIRB18","RDC","EQUATEUR","IREBU",37373,18,"02/05/16 00:00:00","CHOLERA",NA,NA,0,0,1,0,NA,NA,1,0,0,2.7,1,1180
"23","RDCEQTBLG16","RDC","EQUATEUR","BOLENGE",52736,16,"04/18/16 00:00:00","CHOLERA",NA,NA,0,0,1,0,NA,NA,1,0,0,1.9,1,983
"24","RDCEQTMPK16","RDC","EQUATEUR","MAMPOKO",62900,16,"04/18/16 00:00:00","CHOLERA",NA,NA,0,0,3,0,NA,NA,3,0,0,4.8,1,986
"25","RDCEQTWGT16","RDC","EQUATEUR","WANGATA",56256,16,"04/18/16 00:00:00","CHOLERA",NA,NA,0,0,1,1,NA,NA,1,1,100,1.8,1,1023
"26","RDCEQTMPK17","RDC","EQUATEUR","MAMPOKO",62900,17,"04/25/16 00:00:00","CHOLERA",NA,NA,0,0,13,2,NA,NA,13,2,15,20.7,1,1083
"27","RDCEQTLKL18","RDC","EQUATEUR","LUKOLELA",149807,18,"02/05/16 00:00:00","CHOLERA",NA,NA,0,0,2,0,NA,NA,2,0,0,1.3,1,1117
"28","RDCEQTWGT18","RDC","EQUATEUR","WANGATA",56256,18,"02/05/16 00:00:00","CHOLERA",NA,NA,0,0,2,0,NA,NA,2,0,0,3.6,1,1126
"29","RDCEQTMPK18","RDC","EQUATEUR","MAMPOKO",62900,11,"02/05/16 00:00:00","CHOLERA",NA,NA,0,0,8,0,NA,NA,8,0,0,12.7,1,1154
"30","RDCEQTLBB19","RDC","EQUATEUR","LILANGA-BOBANGA",22176,19,"09/05/16 00:00:00","CHOLERA",NA,NA,0,0,8,1,NA,NA,8,1,13,36.1,1,1205
"31","RDCEQTLKL19","RDC","EQUATEUR","LUKOLELA",149807,19,"09/05/16 00:00:00","CHOLERA",NA,NA,0,0,3,1,NA,NA,3,1,33,2,1,1213
"32","RDCEQTMKZ19","RDC","EQUATEUR","MAKANZA",67830,19,"09/05/16 00:00:00","CHOLERA",NA,NA,1,0,5,1,NA,NA,6,1,17,8.8,1,1219
"33","RDCEQTMPK19","RDC","EQUATEUR","MAMPOKO",62900,19,"09/05/16 00:00:00","CHOLERA",NA,NA,0,0,9,2,NA,NA,9,2,22,14.3,1,1221
"34","RDCEQTWGT20","RDC","EQUATEUR","WANGATA",56256,20,"05/16/16 00:00:00","CHOLERA",NA,NA,8,0,38,1,NA,NA,46,1,2,81.8,1,1252
"35","RDCEQTMNK20","RDC","EQUATEUR","MONIEKA",50080,20,"05/16/16 00:00:00","FIEVRE JAUNE",NA,NA,1,0,0,0,NA,NA,1,0,0,2,1,1258
"36","RDCEQTMKZ20","RDC","EQUATEUR","MAKANZA",67830,20,"05/16/16 00:00:00","CHOLERA",NA,NA,1,0,2,0,NA,NA,3,0,0,4.4,1,1282
"37","RDCEQTMPK20","RDC","EQUATEUR","MAMPOKO",62900,20,"05/16/16 00:00:00","CHOLERA",NA,NA,5,1,7,0,NA,NA,12,1,8,19.1,1,1322
"38","RDCEQTWGT21","RDC","EQUATEUR","WANGATA",56256,21,"05/23/16 00:00:00","CHOLERA",NA,NA,6,0,28,0,NA,NA,34,0,0,60.4,1,1329
"39","RDCEQTMPK21","RDC","EQUATEUR","MAMPOKO",62900,21,"05/23/16 00:00:00","CHOLERA",NA,NA,4,1,2,0,NA,NA,6,1,17,9.5,1,1351
"40","RDCEQTMDK21","RDC","EQUATEUR","MBANDAKA",91785,21,"05/23/16 00:00:00","CHOLERA",NA,NA,2,0,3,0,NA,NA,5,0,0,5.4,1,1365
"41","RDCEQTBLG21","RDC","EQUATEUR","BOLENGE",52736,21,"05/23/16 00:00:00","CHOLERA",NA,NA,1,0,3,0,NA,NA,4,0,0,7.6,1,1387
"42","RDCEQTLBB22","RDC","EQUATEUR","LILANGA-BOBANGA",22176,22,"05/30/16 00:00:00","CHOLERA",NA,NA,0,0,3,0,NA,NA,3,0,0,13.5,1,1404
"43","RDCEQTLKL22","RDC","EQUATEUR","LUKOLELA",149807,22,"05/30/16 00:00:00","CHOLERA",NA,NA,0,0,1,0,NA,NA,1,0,0,0.7,1,1432
"44","RDCEQTBLG22","RDC","EQUATEUR","BOLENGE",52736,22,"05/30/16 00:00:00","CHOLERA",NA,NA,2,0,6,0,NA,NA,8,0,0,15.2,1,1436
"45","RDCEQTBLG19","RDC","EQUATEUR","BOLENGE",52736,19,"09/05/16 00:00:00","CHOLERA",NA,NA,1,0,6,2,NA,NA,7,2,29,13.3,1,1226
"46","RDCEQTWGT19","RDC","EQUATEUR","WANGATA",56256,19,"09/05/16 00:00:00","CHOLERA",NA,NA,4,0,59,0,NA,NA,63,0,0,112,1,1239
"47","RDCEQTMDK19","RDC","EQUATEUR","MBANDAKA",91785,19,"09/05/16 00:00:00","CHOLERA",NA,NA,0,0,26,2,NA,NA,26,2,8,28.3,1,1242
"48","RDCEQTLTB20","RDC","EQUATEUR","LOTUMBE",75915,20,"05/16/16 00:00:00","CHOLERA",NA,NA,0,0,2,2,NA,NA,2,2,100,2.6,1,1262
"49","RDCEQTBKR20","RDC","EQUATEUR","BIKORO",92939,20,"05/16/16 00:00:00","CHOLERA",NA,NA,0,0,1,0,NA,NA,1,0,0,1.1,1,1302
"50","RDCEQTLKL20","RDC","EQUATEUR","LUKOLELA",149807,20,"05/16/16 00:00:00","CHOLERA",NA,NA,0,0,3,0,NA,NA,3,0,0,2,1,1306
"51","RDCEQTMBK20","RDC","EQUATEUR","MBANDAKA",91785,20,"05/16/16 00:00:00","CHOLERA",NA,NA,7,0,16,0,NA,NA,23,0,0,25.1,1,1308
"52","RDCEQTBLG20","RDC","EQUATEUR","BOLENGE",52736,20,"05/16/16 00:00:00","CHOLERA",NA,NA,0,0,7,0,NA,NA,7,0,0,13.3,1,1313
"53","RDCEQTLTB21","RDC","EQUATEUR","LOTUMBE",75915,21,"05/23/16 00:00:00","CHOLERA",NA,NA,0,0,1,0,NA,NA,1,0,0,1.3,1,1338
"54","RDCEQTLBB21","RDC","EQUATEUR","LILANGA-BOBANGA",22176,21,"05/23/16 00:00:00","CHOLERA",NA,NA,0,0,4,0,NA,NA,4,0,0,18,1,1349
"55","RDCEQTWGT21","RDC","EQUATEUR","WANGATA",56256,21,"05/23/16 00:00:00","CHOLERA",NA,NA,6,0,28,0,NA,NA,34,0,0,60.4,1,1372
"56","RDCEQTMDK22","RDC","EQUATEUR","MBANDAKA",91785,22,"05/30/16 00:00:00","CHOLERA",NA,NA,2,0,4,0,NA,NA,6,0,0,6.5,1,1410
"57","RDCEQTMKZ22","RDC","EQUATEUR","MAKANZA",67830,22,"05/30/16 00:00:00","CHOLERA",NA,NA,0,0,1,0,NA,NA,1,0,0,1.5,1,1444
"58","RDCEQTMPK22","RDC","EQUATEUR","MAMPOKO",62900,22,"05/30/16 00:00:00","CHOLERA",NA,NA,2,0,7,1,NA,NA,9,1,11,14.3,1,1446
"59","RDCEQTWGT22","RDC","EQUATEUR","WANGATA",56256,22,"05/30/16 00:00:00","CHOLERA",NA,NA,9,0,19,0,NA,NA,28,0,0,49.8,1,1456
"60","RDCEQTMDK23","RDC","EQUATEUR","MBANDAKA",91785,23,"06/06/16 00:00:00","CHOLERA",NA,NA,3,1,2,0,NA,NA,5,1,20,5.4,1,1480
"61","RDCEQTMKZ23","RDC","EQUATEUR","MAKANZA",67830,23,"06/06/16 00:00:00","CHOLERA",NA,NA,1,0,3,0,NA,NA,4,0,0,5.9,1,1488
"62","RDCEQTBLG23","RDC","EQUATEUR","BOLENGE",52736,23,"06/06/16 00:00:00","CHOLERA",NA,NA,2,0,9,0,NA,NA,11,0,0,20.9,1,1497
"63","RDCEQTMPK23","RDC","EQUATEUR","MAMPOKO",62900,23,"06/06/16 00:00:00","CHOLERA",NA,NA,5,0,17,0,NA,NA,22,0,0,35,1,1507
"64","RDCEQTNTD24","RDC","EQUATEUR","NTONDO",52584,24,"06/13/16 00:00:00","FIEVRE JAUNE",NA,NA,1,0,1,0,NA,NA,2,0,0,3.8,1,1541
"65","RDCEQTMBK24","RDC","EQUATEUR","MBANDAKA",91785,24,"06/13/16 00:00:00","CHOLERA",NA,NA,5,0,3,1,NA,NA,8,1,13,8.7,1,1545
"66","RDCEQTLBB24","RDC","EQUATEUR","LILANGA-BOBANGA",22176,24,"06/13/16 00:00:00","CHOLERA",NA,NA,0,0,5,0,NA,NA,5,0,0,22.5,1,1582
"67","RDCEQTMPK24","RDC","EQUATEUR","MAMPOKO",62900,24,"06/13/16 00:00:00","CHOLERA",NA,NA,4,1,7,0,NA,NA,11,1,9,17.5,1,1605
"68","RDCEQTMKZ24","RDC","EQUATEUR","MAKANZA",67830,24,"06/13/16 00:00:00","CHOLERA",NA,NA,0,0,5,0,NA,NA,5,0,0,7.4,1,1608
"69","RDCEQTLTB25","RDC","EQUATEUR","LOTUMBE",75915,25,"06/20/16 00:00:00","CHOLERA",NA,NA,0,0,1,0,NA,NA,1,0,0,1.3,1,1612
"70","RDCEQTLKL25","RDC","EQUATEUR","LUKOLELA",149807,25,"06/20/16 00:00:00","CHOLERA",NA,NA,0,0,1,0,NA,NA,1,0,0,0.7,1,1619
"71","RDCEQTBLG25","RDC","EQUATEUR","BOLENGE",52736,25,"06/20/16 00:00:00","CHOLERA",NA,NA,4,0,10,0,NA,NA,14,0,0,26.5,1,1644
"72","RDCEQTLBB25","RDC","EQUATEUR","LILANGA-BOBANGA",22176,25,"06/20/16 00:00:00","CHOLERA",NA,NA,1,0,0,0,NA,NA,1,0,0,4.5,1,1654
"73","RDCEQTMDK26","RDC","EQUATEUR","MBANDAKA",91785,26,"06/27/16 00:00:00","CHOLERA",NA,NA,3,0,2,0,NA,NA,5,0,0,5.4,1,1681
"74","RDCEQTBLG26","RDC","EQUATEUR","BOLENGE",52736,26,"06/27/16 00:00:00","CHOLERA",NA,NA,4,0,13,0,NA,NA,17,0,0,32.2,1,1683
"75","RDCEQTWGT26","RDC","EQUATEUR","WANGATA",56256,26,"06/27/16 00:00:00","CHOLERA",NA,NA,11,0,47,0,NA,NA,58,0,0,103.1,1,1723
"76","RDCEQTLTB26","RDC","EQUATEUR","LOTUMBE",75915,26,"06/27/16 00:00:00","CHOLERA",NA,NA,2,0,1,0,NA,NA,3,0,0,4,1,1749
"77","RDCEQTLTB27","RDC","EQUATEUR","LOTUMBE",75915,27,"04/07/16 00:00:00","FIEVRE JAUNE",NA,NA,0,0,1,0,NA,NA,1,0,0,1.3,1,1754
"78","RDCEQTMPK27","RDC","EQUATEUR","MAMPOKO",62900,27,"04/07/16 00:00:00","CHOLERA",NA,NA,3,0,7,0,NA,NA,10,0,0,15.9,1,1761
"79","RDCEQTLBB23","RDC","EQUATEUR","LILANGA-BOBANGA",22176,23,"06/06/16 00:00:00","CHOLERA",NA,NA,1,0,6,1,NA,NA,7,1,14,31.6,1,1518
"80","RDCEQTWGT23","RDC","EQUATEUR","WANGATA",56256,23,"06/06/16 00:00:00","CHOLERA",NA,NA,16,0,25,1,NA,NA,41,1,2,72.9,1,1525
"81","RDCEQTWGT24","RDC","EQUATEUR","WANGATA",56256,24,"06/13/16 00:00:00","CHOLERA",NA,NA,15,0,33,0,NA,NA,48,0,0,85.3,1,1562
"82","RDCEQTBKR24","RDC","EQUATEUR","BIKORO",92939,24,"06/13/16 00:00:00","CHOLERA",NA,NA,3,0,8,0,NA,NA,11,0,0,11.8,1,1588
"83","RDCEQTMNK24","RDC","EQUATEUR","MONIEKA",50080,24,"06/13/16 00:00:00","FIEVRE JAUNE",NA,NA,0,0,1,0,NA,NA,1,0,0,2,1,1590
"84","RDCEQTBLG24","RDC","EQUATEUR","BOLENGE",52736,24,"06/13/16 00:00:00","CHOLERA",NA,NA,2,0,2,0,NA,NA,4,0,0,7.6,1,1599
"85","RDCEQTMDK25","RDC","EQUATEUR","MBANDAKA",91785,25,"06/20/16 00:00:00","CHOLERA",NA,NA,4,0,6,0,NA,NA,10,0,0,10.9,1,1623
"86","RDCEQTMPK25","RDC","EQUATEUR","MAMPOKO",62900,25,"06/20/16 00:00:00","CHOLERA",NA,NA,0,0,1,0,NA,NA,1,0,0,1.6,1,1629
"87","RDCEQTMNK25","RDC","EQUATEUR","MONIEKA",50080,25,"06/20/16 00:00:00","FIEVRE JAUNE",NA,NA,0,0,2,0,NA,NA,2,0,0,4,1,1633
"88","RDCEQTWGT25","RDC","EQUATEUR","WANGATA",56256,25,"06/20/16 00:00:00","CHOLERA",NA,NA,17,1,37,0,NA,NA,54,1,2,96,1,1637
"89","RDCEQTBKR25","RDC","EQUATEUR","BIKORO",92939,25,"06/20/16 00:00:00","CHOLERA",NA,NA,6,0,18,0,NA,NA,24,0,0,25.8,1,1665
"90","RDCEQTMKZ25","RDC","EQUATEUR","MAKANZA",67830,25,"06/20/16 00:00:00","CHOLERA",NA,NA,0,0,12,1,NA,NA,12,1,8,17.7,1,1670
"91","RDCEQTLBB26","RDC","EQUATEUR","LILANGA-BOBANGA",22176,26,"06/27/16 00:00:00","CHOLERA",NA,NA,0,0,3,1,NA,NA,3,1,33,13.5,1,1695
"92","RDCEQTMKZ26","RDC","EQUATEUR","MAKANZA",67830,26,"06/27/16 00:00:00","CHOLERA",NA,NA,4,0,33,0,NA,NA,37,0,0,54.5,1,1706
"93","RDCEQTMPK26","RDC","EQUATEUR","MAMPOKO",62900,26,"06/27/16 00:00:00","CHOLERA",NA,NA,4,0,12,0,NA,NA,16,0,0,25.4,1,1739
"94","RDCEQTMDK27","RDC","EQUATEUR","MBANDAKA",91785,27,"04/07/16 00:00:00","CHOLERA",NA,NA,1,0,2,0,NA,NA,3,0,0,3.3,1,1774
"95","RDCEQTIRB27","RDC","EQUATEUR","IREBU",37373,27,"04/07/16 00:00:00","CHOLERA",NA,NA,0,0,5,0,NA,NA,5,0,0,13.4,1,1777
"96","RDCEQTMKZ27","RDC","EQUATEUR","MAKANZA",67830,27,"04/07/16 00:00:00","CHOLERA",NA,NA,5,0,38,1,NA,NA,43,1,2,63.4,1,1780
"97","RDCEQTBLG27","RDC","EQUATEUR","BOLENGE",52736,27,"04/07/16 00:00:00","CHOLERA",NA,NA,7,0,14,1,NA,NA,21,1,5,39.8,1,1787
"98","RDCEQTBKR27","RDC","EQUATEUR","BIKORO",92939,27,"04/07/16 00:00:00","FIEVRE JAUNE",NA,NA,0,0,1,0,NA,NA,1,0,0,1.1,1,1798
"99","RDCEQTWGT27","RDC","EQUATEUR","WANGATA",56256,27,"04/07/16 00:00:00","CHOLERA",NA,NA,10,0,30,0,NA,NA,40,0,0,71.1,1,1819
"100","RDCEQTBLG28","RDC","EQUATEUR","BOLENGE",52736,28,"11/07/16 00:00:00","CHOLERA",NA,NA,2,0,22,0,NA,NA,24,0,0,45.5,1,1831
"101","RDCEQTLBB29","RDC","EQUATEUR","LILANGA-BOBANGA",22176,29,"07/18/16 00:00:00","CHOLERA",NA,NA,6,0,14,0,NA,NA,20,0,0,90.2,1,1896
"102","RDCEQTMDK29","RDC","EQUATEUR","MBANDAKA",91785,29,"07/18/16 00:00:00","CHOLERA",NA,NA,4,1,8,0,NA,NA,12,1,8,13.1,1,1931
"103","RDCEQTBLG29","RDC","EQUATEUR","BOLENGE",52736,29,"07/18/16 00:00:00","CHOLERA",NA,NA,2,0,22,1,NA,NA,24,1,4,45.5,1,1939
"104","RDCEQTLKL29","RDC","EQUATEUR","LUKOLELA",149807,29,"07/18/16 00:00:00","CHOLERA",NA,NA,0,0,2,0,NA,NA,2,0,0,1.3,1,1963
"105","RDCEQTIRB30","RDC","EQUATEUR","IREBU",37373,30,"07/25/16 00:00:00","CHOLERA",NA,NA,0,0,10,2,NA,NA,10,2,20,26.8,1,1966
"106","RDCEQTLBB30","RDC","EQUATEUR","LILANGA-BOBANGA",22176,30,"07/25/16 00:00:00","CHOLERA",NA,NA,3,0,10,0,NA,NA,13,0,0,58.6,1,1978
"107","RDCEQTMPK30","RDC","EQUATEUR","MAMPOKO",62900,30,"07/25/16 00:00:00","CHOLERA",NA,NA,4,2,18,1,NA,NA,22,3,14,35,1,2003
"108","RDCEQTIBK30","RDC","EQUATEUR","IBOKO",84954,30,"07/25/16 00:00:00","FIEVRE JAUNE",NA,NA,1,0,0,0,NA,NA,1,0,0,1.2,1,2009
"109","RDCEQTBLG30","RDC","EQUATEUR","BOLENGE",52736,30,"07/25/16 00:00:00","CHOLERA",NA,NA,2,0,8,0,NA,NA,10,0,0,19,1,2014
"110","RDCEQTLBB31","RDC","EQUATEUR","LILANGA-BOBANGA",22176,31,"01/08/16 00:00:00","CHOLERA",NA,NA,0,0,8,2,NA,NA,8,2,25,36.1,1,2044
"111","RDCEQTLKL31","RDC","EQUATEUR","LUKOLELA",149807,31,"01/08/16 00:00:00","CHOLERA",NA,NA,0,0,3,0,NA,NA,3,0,0,2,1,2050
"112","RDCEQTIRB28","RDC","EQUATEUR","IREBU",37373,28,"11/07/16 00:00:00","CHOLERA",NA,NA,0,0,7,0,NA,NA,7,0,0,18.7,1,1839
"113","RDCEQTLBB28","RDC","EQUATEUR","LILANGA-BOBANGA",22176,28,"11/07/16 00:00:00","CHOLERA",NA,NA,1,0,9,2,NA,NA,10,2,20,45.1,1,1853
"114","RDCEQTMBK28","RDC","EQUATEUR","MBANDAKA",91785,28,"11/07/16 00:00:00","CHOLERA",NA,NA,6,0,10,0,NA,NA,16,0,0,17.4,1,1874
"115","RDCEQTMPK28","RDC","EQUATEUR","MAMPOKO",62900,28,"11/07/16 00:00:00","CHOLERA",NA,NA,6,0,10,0,NA,NA,16,0,0,25.4,1,1879
"116","RDCEQTMKZ28","RDC","EQUATEUR","MAKANZA",67830,28,"11/07/16 00:00:00","CHOLERA",NA,NA,5,1,59,3,NA,NA,64,4,6,94.4,1,1884
"117","RDCEQTWGT28","RDC","EQUATEUR","WANGATA",56256,28,"11/07/16 00:00:00","CHOLERA",NA,NA,9,0,27,0,NA,NA,36,0,0,64,1,1888
"118","RDCEQTMPK29","RDC","EQUATEUR","MAMPOKO",62900,29,"07/18/16 00:00:00","CHOLERA",NA,NA,12,0,12,0,NA,NA,24,0,0,38.2,1,1914
"119","RDCEQTWGT29","RDC","EQUATEUR","WANGATA",56256,29,"07/18/16 00:00:00","CHOLERA",NA,NA,8,0,12,0,NA,NA,20,0,0,35.6,1,1947
"120","RDCEQTMKZ29","RDC","EQUATEUR","MAKANZA",67830,29,"07/18/16 00:00:00","CHOLERA",NA,NA,9,0,72,3,NA,NA,81,3,4,119.4,1,1953
"121","RDCEQTIRB29","RDC","EQUATEUR","IREBU",37373,29,"07/18/16 00:00:00","CHOLERA",NA,NA,0,0,8,1,NA,NA,8,1,13,21.4,1,1955
"122","RDCEQTLBB25","RDC","EQUATEUR","LILANGA-BOBANGA",22176,25,"06/20/16 00:00:00","CHOLERA",NA,NA,0,0,4,0,NA,NA,4,0,0,18,1,1958
"123","RDCEQTBLG28","RDC","EQUATEUR","BOLENGE",52736,28,"11/07/16 00:00:00","CHOLERA",NA,NA,0,0,3,0,NA,NA,3,0,0,5.7,1,1962
"124","RDCEQTLKL30","RDC","EQUATEUR","LUKOLELA",149807,30,"07/25/16 00:00:00","CHOLERA",NA,NA,0,0,1,0,NA,NA,1,0,0,0.7,1,1993
"125","RDCEQTWGT30","RDC","EQUATEUR","WANGATA",56256,30,"07/25/16 00:00:00","CHOLERA",NA,NA,9,0,23,0,NA,NA,32,0,0,56.9,1,1998
"126","RDCEQTMKZ30","RDC","EQUATEUR","MAKANZA",67830,30,"07/25/16 00:00:00","CHOLERA",NA,NA,13,0,72,0,NA,NA,85,0,0,125.3,1,2024
"127","RDCEQTMDK30","RDC","EQUATEUR","MBANDAKA",91785,30,"07/25/16 00:00:00","CHOLERA",NA,NA,0,0,9,0,NA,NA,9,0,0,9.8,1,2028
"128","RDCEQTIRB31","RDC","EQUATEUR","IREBU",37373,31,"01/08/16 00:00:00","CHOLERA",NA,NA,0,0,4,0,NA,NA,4,0,0,10.7,1,2053
"129","RDCEQTMDK31","RDC","EQUATEUR","MBANDAKA",91785,31,"01/08/16 00:00:00","CHOLERA",NA,NA,0,0,17,0,NA,NA,17,0,0,18.5,1,2067
"130","RDCEQTMPK31","RDC","EQUATEUR","MAMPOKO",62900,31,"01/08/16 00:00:00","CHOLERA",NA,NA,17,1,26,3,NA,NA,43,4,9,68.4,1,2070
"131","RDCEQTBLB31","RDC","EQUATEUR","BOLOMBA",194878,31,"01/08/16 00:00:00","CHOLERA",NA,NA,10,2,18,3,NA,NA,28,5,18,14.4,1,2074
"132","RDCEQTBLG31","RDC","EQUATEUR","BOLENGE",52736,31,"01/08/16 00:00:00","CHOLERA",NA,NA,4,0,14,1,NA,NA,18,1,6,34.1,1,2085
"133","RDCEQTMKZ31","RDC","EQUATEUR","MAKANZA",67830,31,"01/08/16 00:00:00","CHOLERA",NA,NA,13,0,64,0,NA,NA,77,0,0,113.5,1,2087
"134","RDCEQTMPK32","RDC","EQUATEUR","MAMPOKO",62900,32,"08/08/16 00:00:00","CHOLERA",NA,NA,16,0,10,1,NA,NA,26,1,4,41.3,1,2121
"135","RDCEQTMDK32","RDC","EQUATEUR","MBANDAKA",91785,32,"08/08/16 00:00:00","CHOLERA",NA,NA,1,0,1,0,NA,NA,2,0,0,2.2,1,2145
"136","RDCEQTWGT32","RDC","EQUATEUR","WANGATA",56256,32,"08/08/16 00:00:00","CHOLERA",NA,NA,7,0,22,0,NA,NA,29,0,0,51.6,1,2149
"137","RDCEQTLKL32","RDC","EQUATEUR","LUKOLELA",149807,32,"08/08/16 00:00:00","CHOLERA",NA,NA,0,0,6,1,NA,NA,6,1,17,4,1,2155
"138","RDCEQTWGT31","RDC","EQUATEUR","WANGATA",56256,31,"01/08/16 00:00:00","CHOLERA",NA,NA,1,0,16,1,NA,NA,17,1,6,30.2,1,2094
"139","RDCEQTIRB32","RDC","EQUATEUR","IREBU",37373,32,"08/08/16 00:00:00","CHOLERA",NA,NA,6,0,12,3,NA,NA,18,3,17,48.2,1,2101
"140","RDCEQTBLG32","RDC","EQUATEUR","BOLENGE",52736,32,"08/08/16 00:00:00","CHOLERA",NA,NA,4,0,18,0,NA,NA,22,0,0,41.7,1,2137
"141","RDCEQTMKZ32","RDC","EQUATEUR","MAKANZA",67830,32,"08/08/16 00:00:00","CHOLERA",NA,NA,13,0,57,2,NA,NA,70,2,3,103.2,1,2161
"142","KORIDSMYA18","RDC","KASAI ORIENTAL","MUYA",259531,18,"02/05/16 00:00:00","FIEVRE JAUNE",NA,NA,0,0,1,0,0,0,1,0,0,0.4,1,3342
"143","KORIDSDIB30","RDC","KASAI ORIENTAL","DIBINDI",222160,30,"07/25/16 00:00:00","FIEVRE JAUNE",NA,NA,1,0,0,0,0,0,1,0,0,0.5,1,4120
"144","RDCKINMSU01","RDC","KINSHASA","MASINA I",215273,1,"04/01/16 00:00:00","FIEVRE JAUNE",NA,NA,0,0,1,0,0,0,1,0,0,0.5,1,4303
"145","RDCKINBAN01","RDC","KINSHASA","BANDALUNGWA",126604,1,"04/01/16 00:00:00","FIEVRE JAUNE",NA,NA,1,0,0,0,0,0,1,0,0,0.8,1,4359
"146","RDCKINMLD02","RDC","KINSHASA","MALUKU II",42419,2,"01/11/16 00:00:00","FIEVRE JAUNE",NA,NA,1,0,0,0,0,0,1,0,0,2.4,1,4397
